vehiculo_label,modelo,promedio_calificacion,n_resenas
Lexus ES 350 F Sport,5.0,5.0,1
Lexus UX 250h UX 250h Premium,5.0,5.0,1
Lexus GX 470 Base,5.0,5.0,1
Lexus NX 300 NX 300,5.0,5.0,1
Lexus ES 300h Luxury,5.0,5.0,1
Lexus IS 200t Base,5.0,5.0,1
Lexus GX 460 Luxury,5.0,5.0,1
Lexus ES 300h Base,5.0,5.0,1
Lexus RX 350 Base,5.0,5.0,1
Lexus GS 200t F Sport,5.0,5.0,1
Lexus GX 460 Luxury,5.0,5.0,1
Lexus GS 300,5.0,5.0,1
Lexus ES 350 Base,5.0,5.0,1
Lexus RX 350,5.0,5.0,1
Lexus RX 350 350,5.0,5.0,1
Lexus RX 450h F SPORT Handling,5.0,5.0,1
Lexus LS 500,5.0,5.0,1
Lexus IS 250,5.0,5.0,1
Lexus NX 300 F Sport,5.0,5.0,1
Lexus LS 460 L,5.0,5.0,1
Lexus RX 350L Premium,5.0,5.0,1
Lexus IS 350 F Sport,5.0,5.0,1
Lexus RX 350 350,5.0,5.0,1
Lexus RC 350 Base,5.0,5.0,1
Mercedes-Benz Sprinter 2500 High Roof,5.0,5.0,1
Mercedes-Benz E-Class E 350,5.0,5.0,1
Mercedes-Benz S-Class S 580 4MATIC,5.0,5.0,1
Mercedes-Benz S-Class S 500 4MATIC,5.0,5.0,1
Mercedes-Benz E-Class E 450,5.0,5.0,1
Mercedes-Benz EQS 450 Base 4MATIC,5.0,5.0,1
Mercedes-Benz GLS 450 4MATIC,5.0,5.0,1
Mercedes-Benz S-Class S 500 4MATIC,5.0,5.0,1
Mercedes-Benz GLE 450 AWD 4MATIC,5.0,5.0,1
Mercedes-Benz Sprinter 3500XD High Roof,5.0,5.0,1
Mercedes-Benz GLE 350 Base,5.0,5.0,1
Mercedes-Benz Sprinter 2500 High Roof,5.0,5.0,1
Mercedes-Benz E-Class E 450,5.0,5.0,1
Mercedes-Benz AMG GLC 43 GLC 43 AMG 4MATIC,5.0,5.0,1
Mercedes-Benz GLE 450 AWD 4MATIC,5.0,5.0,1
Mercedes-Benz S-Class S 580 4MATIC,5.0,5.0,1
Mercedes-Benz AMG SL 63 Base,5.0,5.0,1
Mercedes-Benz AMG GLA 45 Base,5.0,5.0,1
Mercedes-Benz AMG GLC 43 GLC 43 AMG 4MATIC,5.0,5.0,1
Mercedes-Benz GLE 450 AWD 4MATIC,5.0,5.0,1
Mercedes-Benz AMG SL 63 Base,5.0,5.0,1
